Date,Open,High,Low,Close,Adj Close,Volume
1991-08-15,0.300347,0.305556,0.284722,0.288194,0.221000,147312000
1991-08-16,0.293403,0.296875,0.288194,0.296875,0.227657,129672000
1991-08-19,0.281250,0.296875,0.277778,0.289931,0.222332,115041600
1991-08-20,0.293403,0.296875,0.284722,0.287326,0.220334,107323200
1991-08-21,0.289931,0.309028,0.289063,0.307292,0.235645,194616000
1991-08-22,0.309028,0.314236,0.309028,0.313368,0.240304,89150400
1991-08-23,0.310764,0.321181,0.309028,0.317708,0.243633,101217600
1991-08-26,0.317708,0.322917,0.312500,0.317708,0.243633,37886400
1991-08-27,0.317708,0.319444,0.309028,0.315972,0.242301,42969600
1991-08-28,0.315972,0.321181,0.312500,0.319444,0.244964,28051200
1991-08-29,0.319444,0.322049,0.314236,0.317708,0.243633,38764800
1991-08-30,0.314236,0.317708,0.312500,0.315104,0.241636,25675200
1991-09-03,0.310764,0.315972,0.307292,0.310764,0.238307,14140800
1991-09-04,0.310764,0.310764,0.295139,0.298611,0.228988,58478400
1991-09-05,0.293403,0.296875,0.284722,0.293403,0.224994,83476800
1991-09-06,0.293403,0.296875,0.289931,0.293403,0.224994,52372800
1991-09-09,0.293403,0.303819,0.293403,0.302951,0.232316,33292800
1991-09-10,0.303819,0.309028,0.300347,0.302083,0.231651,81489600
1991-09-11,0.303819,0.305556,0.298611,0.305556,0.234313,37396800
1991-09-12,0.307292,0.315972,0.307292,0.312500,0.239639,76190400
1991-09-13,0.314236,0.314236,0.303819,0.305556,0.234313,64152000
1991-09-16,0.305556,0.307292,0.293403,0.298611,0.228988,30283200
1991-09-17,0.296875,0.300347,0.293403,0.298611,0.228988,33220800
1991-09-18,0.293403,0.307292,0.293403,0.305556,0.234313,29865600
1991-09-19,0.303819,0.312500,0.303819,0.310764,0.238307,63820800
1991-09-20,0.312500,0.317708,0.310764,0.313368,0.240304,78379200
1991-09-23,0.314236,0.314236,0.309028,0.312500,0.239639,84931200
1991-09-24,0.312500,0.315972,0.309028,0.311632,0.238973,97977600
1991-09-25,0.312500,0.312500,0.300347,0.300347,0.230319,55497600
1991-09-26,0.288194,0.288194,0.279514,0.279514,0.214344,206366400
1991-09-27,0.277778,0.288194,0.274306,0.277778,0.213012,152308800
1991-09-30,0.276042,0.286458,0.272569,0.284722,0.218338,77169600
1991-10-01,0.288194,0.298611,0.283854,0.293403,0.224994,80798400
1991-10-02,0.293403,0.293403,0.282118,0.286458,0.219669,114984000
1991-10-03,0.286458,0.289931,0.279514,0.279514,0.214344,53208000
1991-10-04,0.282986,0.288194,0.279514,0.286458,0.219669,44568000
1991-10-07,0.284722,0.291667,0.284722,0.289063,0.221666,50400000
1991-10-08,0.288194,0.289931,0.282986,0.289931,0.222332,78883200
1991-10-09,0.286458,0.289931,0.270833,0.272569,0.209018,118166400
1991-10-10,0.274306,0.277778,0.258681,0.269965,0.207021,162345600
1991-10-11,0.269097,0.286458,0.269097,0.282118,0.216341,130147200
1991-10-14,0.282986,0.298611,0.281250,0.295139,0.226325,66096000
1991-10-15,0.296875,0.305556,0.296875,0.305556,0.234313,112593600
1991-10-16,0.305556,0.315972,0.303819,0.312500,0.239639,150825600
1991-10-17,0.310764,0.319444,0.307292,0.312500,0.239639,150595200
1991-10-18,0.314236,0.317708,0.310764,0.311632,0.238973,64540800
1991-10-21,0.311632,0.317708,0.305556,0.307292,0.235645,60883200
1991-10-22,0.309028,0.315972,0.309028,0.314236,0.240970,45777600
1991-10-23,0.315104,0.317708,0.310764,0.315972,0.242301,30384000
1991-10-24,0.317708,0.319444,0.300347,0.306424,0.234979,113961600
1991-10-25,0.303819,0.305556,0.296875,0.302083,0.231651,84772800
1991-10-28,0.307292,0.317708,0.303819,0.314236,0.240970,61545600
1991-10-29,0.315972,0.317708,0.309028,0.315104,0.241636,53208000
1991-10-30,0.317708,0.333333,0.315972,0.329861,0.252952,166032000
1991-10-31,0.329861,0.343750,0.328125,0.338542,0.259609,131472000
1991-11-01,0.338542,0.338542,0.326389,0.328125,0.251621,96595200
1991-11-04,0.328125,0.331597,0.324653,0.328993,0.252286,41385600
1991-11-05,0.331597,0.340278,0.328993,0.336806,0.258277,117590400
1991-11-06,0.338542,0.342014,0.333333,0.338542,0.259609,59486400
1991-11-07,0.361111,0.364583,0.354167,0.362847,0.278247,230428800
1991-11-08,0.366319,0.376736,0.364583,0.369792,0.283572,133243200
1991-11-11,0.371528,0.371528,0.364583,0.366319,0.280910,24912000
1991-11-12,0.368924,0.373264,0.368056,0.370660,0.284238,90777600
1991-11-13,0.368056,0.381944,0.368056,0.380208,0.291560,95860800
1991-11-14,0.381944,0.383681,0.376736,0.376736,0.288898,35726400
1991-11-15,0.375000,0.381944,0.355903,0.355903,0.272922,93297600
1991-11-18,0.356771,0.361111,0.347222,0.359375,0.275584,96681600
1991-11-19,0.354167,0.354167,0.336806,0.348958,0.267597,117950400
1991-11-20,0.350694,0.354167,0.343750,0.345486,0.264934,41976000
1991-11-21,0.345486,0.352431,0.345486,0.348958,0.267597,38462400
1991-11-22,0.347222,0.348958,0.333333,0.342014,0.262271,70257600
1991-11-25,0.343750,0.347222,0.335069,0.338542,0.259609,52977600
1991-11-26,0.343750,0.343750,0.336806,0.341146,0.261606,45100800
1991-11-27,0.342014,0.348958,0.340278,0.343750,0.263603,32832000
1991-11-29,0.343750,0.347222,0.340278,0.343750,0.263603,24264000
1991-12-02,0.340278,0.364583,0.336806,0.359375,0.275584,63518400
1991-12-03,0.361111,0.371528,0.357639,0.368056,0.282241,55310400
1991-12-04,0.371528,0.387153,0.368056,0.381944,0.292892,93542400
1991-12-05,0.380208,0.394097,0.373264,0.375000,0.287566,85406400
1991-12-06,0.375000,0.380208,0.368056,0.372396,0.285569,58420800
1991-12-09,0.375000,0.381944,0.373264,0.378472,0.290229,82382400
1991-12-10,0.378472,0.381944,0.373264,0.375000,0.287566,37915200
1991-12-11,0.378472,0.380208,0.368056,0.375000,0.287566,47563200
1991-12-12,0.375000,0.381944,0.373264,0.378472,0.290229,47592000
1991-12-13,0.381944,0.387153,0.380208,0.381076,0.292226,81475200
1991-12-16,0.383681,0.392361,0.380208,0.388889,0.298217,76233600
1991-12-17,0.392361,0.392361,0.388889,0.388889,0.298217,44553600
1991-12-18,0.387153,0.399306,0.387153,0.394965,0.302877,110203200
1991-12-19,0.394097,0.394097,0.387153,0.388889,0.298217,56808000
1991-12-20,0.394097,0.394097,0.380208,0.381944,0.292892,67334400
1991-12-23,0.381944,0.394097,0.380208,0.392361,0.300880,159868800
1991-12-24,0.394097,0.414931,0.392361,0.411458,0.315524,84873600
1991-12-26,0.414931,0.447917,0.414931,0.442708,0.339488,123105600
